town_name,latitude,longitude,population_density,urbanization_index,temperature,humidity,precipitation_last_24h,precipitation_last_7d,wind_speed,wind_direction,days_since_last_rain,avg_temp_past_week,max_temp_past_week,storm_warning_flag,elevation,slope,aspect,distance_to_water,impervious_surface_ratio,vegetation_density,soil_type,soil_moisture,surface_runoff,streamflow_index,drought_index,recent_fire_flag,fire_risk_score,flood_risk_score,hazard_class
Riverhead,40.9671,-72.3821,3883.9076,0.6137,93.4768,84.0086,9.4058,20.1546,5.3814,NE,0,93.994,104.3474,0,30.9926,6.173,297.9136,0.3017,0.6588,0.3962,Sandy,0.3546,1.3868,0.6953,0.5904,0,0.3807,0.3738,moderate
Southampton,40.6837,-72.5339,4070.1199,0.8453,65.1277,100.0,0.9287,27.746,10.4478,NE,5,75.3381,86.6913,0,31.5171,0.5652,264.1012,2.0341,0.7426,0.0851,Silty,0.5227,2.8344,0.5699,0.3029,0,0.2203,0.3478,low
East Hampton,40.7753,-73.3408,105.5708,0.0,63.2429,74.2645,0.4342,17.6369,3.5727,W,1,64.6297,71.5946,0,78.7376,4.1887,276.9498,7.6832,0.0,0.5561,Silty-Clay,0.4141,0.3499,0.4283,0.4129,1,0.318,0.1548,low
Huntington,40.8198,-72.8749,1226.7845,0.0541,70.3415,61.0794,1.3443,9.7054,2.1209,S,0,70.2301,77.3476,0,137.0719,1.4824,3.9713,6.1495,0.039,0.7078,Peaty,0.4296,0.4063,0.4366,0.458,0,0.356,0.1301,moderate
Brookhaven,40.8736,-73.0492,142.7382,0.0,79.1275,81.0808,2.7068,13.408,7.5359,NE,0,80.738,86.1529,0,156.7908,16.4743,149.8154,7.7704,0.0,1.0,Sandy,0.4269,0.5773,0.437,0.4435,0,0.3846,0.1267,moderate
Islip,41.0711,-73.0852,1053.3705,0.1483,79.1417,87.3384,1.3568,24.2226,6.1303,W,0,79.0863,87.307,0,29.8239,3.3038,173.2839,3.6415,0.1594,0.8245,Peaty,0.4874,1.3357,0.6334,0.43,0,0.3435,0.294,low
Smithtown,40.7198,-71.8459,1193.8021,0.0,76.7937,74.4608,1.3201,6.4204,3.1268,W,0,72.7287,83.3261,0,36.4374,8.1993,6.9092,2.9009,0.0,0.9751,Clay-Loam,0.2776,0.8788,0.6976,0.5718,0,0.4067,0.2635,moderate
Babylon,40.9085,-72.8317,8106.032,0.9946,78.5121,98.6917,3.6432,7.6002,12.4358,SE,0,82.6285,96.2078,1,61.9088,3.9951,93.5328,0.7976,0.7464,0.0041,Clay-Loam,0.3349,0.7742,0.4718,0.5359,0,0.284,0.33,low
Hempstead,40.9554,-71.9835,555.0248,0.0694,56.6631,69.923,0.897,1.0057,4.0261,W,7,57.7919,69.4612,0,64.1043,0.2219,273.7043,1.9889,0.0587,0.852,Peaty,0.343,0.6844,0.6414,0.4547,0,0.3608,0.2188,moderate
North Hempstead,40.6279,-72.4271,87.8655,0.0843,54.6259,100.0,3.9293,21.448,4.851,S,0,54.714,64.0679,0,43.4552,5.014,49.3595,2.846,0.091,0.4644,Silty-Clay,0.5496,0.6864,0.5847,0.3023,0,0.1842,0.2692,low
Oyster Bay,40.9645,-72.1488,157.0024,0.2111,72.7419,71.2669,1.0445,17.188,13.7924,NE,0,67.8651,82.3963,0,25.017,15.121,192.7116,0.4639,0.1551,0.7458,Sandy,0.4697,0.4189,0.7451,0.4243,0,0.373,0.3171,moderate
Long Beach,40.7023,-72.6455,9214.0513,1.0,83.2244,99.8561,5.7957,6.8989,10.8013,W,0,89.7419,101.9343,0,48.7279,4.6016,77.4727,1.2462,0.6216,0.0,Silty,0.4241,0.7901,0.6224,0.5094,0,0.2787,0.308,low
Glen Cove,40.639,-72.5193,1267.5162,0.1844,61.9411,100.0,1.2102,9.8107,3.7198,N,0,65.2646,79.5663,0,156.6813,8.5515,4.3635,4.5593,0.1841,0.7576,Loamy,0.4303,0.4024,0.4788,0.2691,0,0.2355,0.1536,low
Freeport,41.1693,-72.6627,129.817,0.0,60.1883,76.3871,2.8747,9.1106,6.4864,W,0,57.4237,67.6996,1,32.5129,10.7797,86.8325,6.6527,0.0,1.0,Clay,0.4342,0.302,0.5138,0.467,0,0.3397,0.2867,low
Port Jefferson,41.1794,-73.1681,66.0758,0.2683,45.356,88.5431,0.2694,1.533,3.4526,E,4,50.3651,57.9541,0,59.1777,1.2944,351.3146,32.0274,0.1531,0.7366,Clay-Loam,0.5155,1.2495,0.3344,0.435,0,0.2462,0.114,low
Patchogue,41.085,-72.2718,5855.5928,0.9819,74.6206,92.1215,0.4374,39.8458,13.2255,E,5,72.1328,77.661,0,225.6087,1.1916,288.5534,13.5238,0.6558,0.0106,Sandy-Loam,0.5324,0.2555,0.1574,0.4045,0,0.2785,0.1387,low
Bay Shore,40.7828,-73.0227,129.8926,0.023,97.8339,59.4927,6.0501,8.467,13.2204,E,0,93.9239,106.1847,0,32.129,4.7206,345.4476,5.144,0.0138,1.0,Silty-Clay,0.3579,1.8482,0.5972,0.6281,0,0.5315,0.2686,moderate
Lindenhurst,40.6586,-73.4587,4318.5288,0.7173,67.4846,82.8281,5.3859,6.0819,20.7275,W,0,63.6861,69.8991,0,81.3322,2.6469,175.6275,2.7344,0.5334,0.1545,Clay,0.4271,0.9537,0.5349,0.3913,0,0.295,0.2346,low
West Islip,41.0105,-72.4027,4519.3242,0.773,64.0249,85.9659,6.6774,15.7123,25.1919,S,0,55.1696,64.0249,0,161.0463,9.1586,39.505,5.0554,0.6302,0.1983,Silty,0.4177,1.3307,0.298,0.356,0,0.2921,0.1928,low
Ronkonkoma,40.8641,-73.1989,106.5926,0.0033,84.2237,44.6707,1.7317,15.159,5.3396,NE,0,86.5814,96.9061,0,76.542,11.5141,197.2654,7.7008,0.0034,0.5975,Chalky,0.3196,0.4898,0.4863,0.429,0,0.4316,0.1659,moderate
Riverhead,40.6732,-71.9012,53.0107,0.0,67.389,83.359,21.3452,21.675,12.0242,SW,0,58.2333,68.8774,0,106.4051,2.1803,163.5758,0.6297,0.0,0.5082,Loamy,0.4134,1.1624,0.5573,0.4789,0,0.3172,0.2354,low
Southampton,40.8971,-71.8783,4915.5937,0.7646,79.7886,65.7809,52.0698,62.8203,1.8664,SW,0,73.6464,84.6522,0,88.9844,1.3516,303.9685,2.6374,0.7146,0.1873,Clay-Loam,0.6767,6.6551,0.6499,0.2255,0,0.2661,0.4518,moderate
East Hampton,40.6206,-71.9447,817.172,0.1329,70.8532,74.0912,5.5223,13.1214,8.9419,SW,0,60.4752,70.8532,0,72.3323,7.5826,35.3097,9.1567,0.0992,0.6126,Loamy,0.4928,0.411,0.4737,0.3719,0,0.3244,0.1797,low
Huntington,41.1456,-72.8707,991.246,0.1109,81.9173,96.5041,6.6089,7.6988,10.2705,S,0,81.487,90.2844,1,124.9069,1.6066,175.7668,2.4212,0.1207,0.7471,Clay,0.4513,0.9053,0.5345,0.5006,0,0.3513,0.2297,moderate
Brookhaven,40.7553,-73.4737,3398.216,0.4951,81.6956,56.1351,0.931,2.8247,4.1828,SE,1,80.944,92.1159,0,79.5676,8.6471,54.0175,4.2417,0.4109,0.4565,Loamy,0.3709,0.389,0.5952,0.6133,0,0.4124,0.2085,moderate
Islip,40.9975,-71.9219,9178.9546,1.0,55.2251,100.0,2.1675,10.5602,5.1206,NW,0,53.5917,68.2898,0,43.8028,2.756,116.8833,4.4309,1.0,0.0,Chalky,0.5457,1.0876,0.5184,0.3585,0,0.149,0.3138,low
Smithtown,40.787,-72.7721,6951.9434,0.9745,94.184,63.3052,0.3045,3.8193,13.2714,N,2,88.9711,101.2474,1,55.9002,5.5063,265.4485,1.0196,0.9198,0.0149,Clay,0.2445,0.1704,0.6962,0.5789,1,0.4468,0.3592,moderate
Babylon,40.912,-71.8567,7593.2674,1.0,104.016,57.394,1.692,29.5493,10.4204,N,0,98.1548,112.3809,0,65.681,0.5021,171.3665,2.2489,0.5884,0.0,Clay-Loam,0.3156,0.2751,0.5336,0.6526,0,0.452,0.273,moderate
Hempstead,40.928,-71.8618,1683.7569,0.0155,96.5045,77.9529,50.4098,67.488,19.2627,E,0,98.8264,111.4485,0,36.2608,4.889,135.3198,2.0362,0.0151,0.7287,Sandy,0.6378,2.9985,0.8014,0.4221,0,0.4285,0.4781,moderate
North Hempstead,40.7109,-72.0499,124.7663,0.1299,54.9692,96.1193,0.6532,41.738,18.023,E,13,52.2164,63.1336,0,57.7724,3.0053,142.0115,0.1327,0.0945,0.8791,Sandy-Loam,0.5788,1.346,0.7513,0.3683,0,0.3465,0.2901,low
Oyster Bay,41.1818,-72.9994,3151.9022,0.6499,80.5195,84.2475,0.4936,3.5002,2.3193,W,4,82.1013,89.0215,0,51.8201,4.4168,165.4008,0.1224,0.6372,0.3349,Clay,0.3226,0.6786,0.4971,0.5988,0,0.3517,0.2796,moderate
Long Beach,41.0651,-72.8453,1305.6598,0.0103,60.0194,100.0,5.4038,40.3777,5.696,SW,0,55.5932,67.26,0,79.3975,0.9197,282.606,8.9099,0.0056,1.0,Rocky,0.6355,0.5475,0.51,0.3583,0,0.2572,0.1912,low
Glen Cove,41.1637,-72.0531,1380.2617,0.1958,46.1603,91.3342,8.4941,14.1369,3.8794,W,0,47.0656,58.2994,0,189.292,6.6756,321.1505,1.5946,0.1219,0.792,Chalky,0.5604,0.9315,0.3296,0.4527,0,0.2288,0.1745,low
Freeport,41.1369,-72.9612,8090.7961,0.9629,72.502,71.3152,50.6729,54.9427,12.3143,NW,0,79.0184,90.0431,0,60.2939,9.9315,343.9205,3.6499,1.0,0.0298,Clay,0.6996,8.4837,0.5964,0.2334,0,0.2492,0.5037,moderate
Port Jefferson,40.9587,-73.2119,114.7489,0.0,89.9567,53.7487,5.238,5.7546,9.4722,SW,0,92.8875,102.7854,0,139.3564,1.2215,283.2852,1.7743,0.0,0.9711,Clay,0.3794,2.3514,0.5579,0.6679,0,0.5106,0.1759,moderate
Patchogue,41.1531,-72.5534,691.3705,0.0374,101.0992,50.9593,7.0082,7.5503,4.0707,E,0,99.0371,109.3237,0,77.4325,0.5031,113.5465,14.124,0.0407,0.6668,Rocky,0.3031,0.9299,0.3083,0.6767,0,0.5088,0.1271,moderate
Bay Shore,40.6531,-71.9085,92.5664,0.0,96.0672,100.0,1.6938,13.4707,4.5271,NE,0,97.3532,105.6977,0,57.5812,0.1196,247.7285,1.5008,0.0,0.7144,Clay-Loam,0.3694,0.2528,0.5665,0.6235,0,0.3892,0.2306,moderate
Lindenhurst,40.7176,-72.3167,1044.6234,0.3493,68.168,100.0,0.3086,6.4322,15.8162,SE,1,66.9647,77.1578,0,34.6262,5.1357,157.5371,2.8076,0.3319,0.6847,Clay,0.4305,0.4679,0.6484,0.3552,0,0.3002,0.2839,low
West Islip,40.6271,-72.5309,146.8876,0.118,55.3451,70.5269,0.9386,3.5071,6.1224,W,26,55.3845,62.36,0,57.9001,4.6709,91.6814,10.3072,0.1164,0.7166,Sandy-Loam,0.2554,0.1188,0.5145,0.5941,0,0.4715,0.1786,moderate
Ronkonkoma,40.7952,-73.3348,135.6167,0.1498,98.8766,44.8372,3.1963,12.7147,1.6138,SE,0,97.2485,110.3002,0,55.3287,3.956,302.7138,9.2237,0.1286,0.9003,Loamy,0.3491,1.8981,0.4878,0.5806,0,0.5126,0.2078,moderate
Riverhead,40.8332,-72.4545,103.4145,0.0894,86.7933,79.152,0.9158,3.8308,3.8171,SE,19,85.9716,92.8294,0,27.4908,1.3195,13.8335,1.0296,0.0638,0.9795,Clay-Loam,0.1222,0.1484,0.7767,0.772,0,0.5658,0.2929,moderate
Southampton,40.7628,-71.8169,1979.7729,0.2171,107.9521,67.4377,0.1821,8.8009,21.4927,SE,2,109.0126,114.8622,1,31.3267,2.4789,324.6343,8.1137,0.1408,0.8615,Sandy-Loam,0.2921,0.5341,0.6025,0.7707,0,0.5921,0.2945,moderate
East Hampton,41.0972,-73.2619,7043.3111,0.9475,92.3007,76.8528,1.6274,6.0779,14.02,E,0,87.3339,96.6964,0,66.0784,4.5129,166.1319,3.0642,0.4958,0.0599,Clay-Loam,0.2465,0.311,0.4001,0.4981,0,0.3788,0.2264,moderate
Huntington,40.8141,-72.6188,855.8402,0.1916,74.9774,75.1892,3.7302,21.0775,3.2925,N,0,69.898,81.4811,0,138.4434,3.4335,229.3925,3.2983,0.1365,0.6481,Sandy-Loam,0.4698,0.8787,0.4082,0.4194,0,0.3296,0.168,low
Brookhaven,40.7686,-72.0085,3263.3685,0.4217,96.6592,64.1226,3.1785,20.3653,8.9394,E,0,89.7165,99.0937,1,47.4965,22.0257,237.3674,0.7164,0.4036,0.4182,Chalky,0.3167,1.1074,0.6315,0.6312,0,0.4516,0.3521,moderate
Islip,40.9256,-72.2407,729.2887,0.1928,54.2159,96.3887,0.385,6.8735,13.5307,SE,23,46.2145,54.2159,0,12.273,0.7335,322.2424,0.4202,0.2231,0.7325,Sandy-Loam,0.3478,0.5876,0.7679,0.5548,0,0.4121,0.3337,moderate
Smithtown,40.6846,-72.3151,868.9366,0.1208,78.3894,78.2548,2.2342,6.5546,2.2937,E,0,72.303,82.8847,0,19.9603,5.9396,229.2011,6.5087,0.1341,0.668,Peaty,0.3666,0.6276,0.3971,0.539,0,0.3584,0.2525,moderate
Babylon,41.0813,-72.3058,3705.1103,0.58,63.8275,52.414,0.4982,5.0012,14.3883,SE,0,64.6248,73.0948,0,82.7581,2.5902,221.0161,3.4305,0.6011,0.3867,Sandy-Loam,0.3432,1.1714,0.7367,0.4243,0,0.3613,0.241,moderate
Hempstead,40.6447,-72.8889,779.8505,0.2011,44.417,93.9028,0.4923,16.8766,10.3626,S,7,40.0,54.3287,0,14.9996,2.7948,23.9947,2.8711,0.2115,0.7941,Sandy,0.5398,0.0771,0.7404,0.4079,0,0.2683,0.321,low
North Hempstead,41.1921,-73.0009,4638.2138,0.8175,40.0,87.2289,4.1441,8.1217,4.919,SW,0,42.5681,56.7945,0,91.9735,6.3221,186.6269,6.5376,0.7893,0.1792,Sandy,0.5117,0.7727,0.4771,0.3539,0,0.1504,0.212,low
Oyster Bay,41.0633,-72.1241,76.006,0.0,74.395,81.9912,5.5745,7.9198,11.3341,N,0,74.5686,84.5923,0,79.6464,5.8954,54.0608,7.2518,0.0,0.7622,Silty-Clay,0.4362,0.4397,0.5715,0.4083,0,0.3508,0.1756,moderate
Long Beach,40.7192,-72.1228,9225.7407,1.0,97.7894,100.0,0.611,1.4959,9.5514,S,1,87.9468,97.7894,1,46.2565,23.6969,265.4762,0.8653,1.0,0.0,Peaty,0.2532,2.3278,0.8323,0.6108,0,0.3501,0.4019,moderate
Glen Cove,40.6033,-72.026,62.0351,0.0,74.5777,84.7656,0.0013,6.2879,9.9395,NE,4,77.8526,90.2239,0,27.7048,0.6871,184.3999,4.7109,0.0,0.8014,Peaty,0.3764,0.2467,0.6923,0.5457,0,0.391,0.2608,moderate
Freeport,41.0893,-71.9475,6433.8354,1.0,66.7449,79.2501,4.0908,10.6711,8.7476,E,0,70.7989,76.166,0,41.2268,0.5497,244.882,0.7272,0.8923,0.0,Loamy,0.3909,1.2326,0.7485,0.4055,0,0.2537,0.3565,moderate
Port Jefferson,41.0241,-72.6307,1115.5952,0.2452,89.944,83.8606,8.1462,26.5289,4.4134,NE,0,84.9747,94.7224,0,64.912,6.4429,15.0022,6.959,0.1417,0.8476,Peaty,0.3891,1.1373,0.5531,0.4966,0,0.3963,0.2353,moderate
Patchogue,41.0374,-72.6474,9867.8396,0.969,76.6874,85.2279,1.9741,4.4746,4.9935,W,0,78.7884,87.1516,0,15.5044,4.3183,30.5251,5.3495,0.7878,0.023,Loamy,0.3422,0.3856,0.6215,0.4777,0,0.2759,0.3362,low
Bay Shore,41.0628,-72.1429,66.8058,0.0437,59.083,94.8516,2.7747,7.5711,6.8893,E,0,54.8005,69.0059,0,129.3515,1.6021,257.8764,15.6882,0.036,0.5815,Silty-Clay,0.4989,0.2879,0.1913,0.3545,0,0.2369,0.0592,low
Lindenhurst,40.6444,-72.3951,1096.7834,0.0577,66.129,93.4254,50.3299,66.8536,8.2275,NW,0,66.6174,71.7374,1,64.4829,0.4138,25.9504,0.3573,0.0638,0.4879,Silty-Clay,0.8062,3.0156,0.6601,0.2278,0,0.211,0.4832,moderate
West Islip,40.8151,-72.3067,9771.0282,1.0,76.9554,100.0,1.2262,18.5775,11.7227,NW,0,70.6329,81.161,0,69.8582,0.4478,25.6524,0.2937,0.8827,0.0,Chalky,0.3942,0.4352,0.5811,0.4276,0,0.2534,0.2943,low
Ronkonkoma,40.6695,-72.1472,1798.2607,0.2812,78.491,59.9421,0.8653,5.7203,21.776,SW,2,69.5255,81.9321,1,79.252,11.2306,4.3591,1.6577,0.2155,0.6798,Sandy,0.4041,0.2031,0.464,0.4562,0,0.4495,0.2448,moderate
Riverhead,41.1179,-71.987,1725.6081,0.2353,87.0603,78.8683,0.1969,6.3426,9.1883,S,1,85.1462,94.9964,0,121.1653,1.0651,344.3405,1.5171,0.2786,0.5647,Sandy-Loam,0.2149,0.0254,0.4856,0.6096,0,0.42,0.1696,moderate
Southampton,40.974,-72.9254,886.8542,0.2527,69.284,68.5339,1.3316,4.9454,11.6035,SW,0,68.6654,74.5194,0,58.004,1.9532,265.503,1.4183,0.1459,0.4112,Sandy-Loam,0.3395,1.1455,0.4826,0.435,0,0.3406,0.2285,low
East Hampton,40.7985,-72.8615,756.3314,0.0556,54.8213,99.4399,5.07,32.0344,13.1415,W,0,52.8329,67.5575,0,82.7932,1.2852,127.1705,11.8359,0.0443,0.743,Rocky,0.5487,1.9649,0.446,0.2734,1,0.2543,0.1654,low
Huntington,40.6381,-73.3402,1502.9648,0.1096,86.4297,58.3619,0.0818,1.3447,12.0784,SE,3,80.5096,90.6897,0,28.1122,2.1925,106.7528,1.4354,0.058,0.6391,Rocky,0.2201,0.2136,0.668,0.685,0,0.4962,0.2744,moderate
Brookhaven,40.7866,-72.5169,1894.064,0.16,98.9038,58.3972,20.6891,47.8322,4.2984,SW,0,96.9043,108.0462,0,157.2112,0.3598,125.8932,1.5869,0.1629,0.8181,Silty,0.4075,1.5836,0.4993,0.48,0,0.4656,0.2613,moderate
Islip,40.7951,-73.4389,6675.7217,1.0,55.7521,86.1224,20.4652,31.9811,16.647,SW,0,57.0985,64.4646,0,55.1274,3.6601,278.8753,7.1231,1.0,0.0,Clay-Loam,0.613,3.1982,0.5266,0.2865,0,0.1966,0.3622,moderate
Smithtown,41.0378,-72.7085,135.7419,0.0,55.0067,100.0,0.544,8.1277,15.2112,NW,13,54.7822,64.6172,0,27.9894,0.35,238.0934,2.9868,0.0,0.7552,Chalky,0.379,0.5974,0.9014,0.4169,0,0.3412,0.2944,low
Babylon,40.9825,-72.5775,919.9686,0.3288,50.4977,100.0,4.7814,5.1134,8.6761,SE,0,51.4102,60.7017,0,34.6337,8.0561,66.6704,7.4964,0.362,0.438,Silty,0.4995,1.3218,0.6669,0.3686,0,0.1951,0.2793,low
Hempstead,41.1323,-73.0129,8271.197,0.7918,70.0706,63.2719,1.2625,7.7174,4.4775,NW,0,66.7201,72.469,0,6.7157,1.331,62.6794,0.338,0.5579,0.2481,Silty,0.4442,0.2148,0.644,0.4701,0,0.3126,0.3585,moderate
North Hempstead,40.8833,-72.4956,3902.8281,0.8201,63.3968,86.7859,51.2558,56.4941,8.148,E,0,69.2554,75.317,0,34.4484,3.8828,35.4224,3.343,0.9329,0.1471,Clay,0.6955,7.7484,0.7354,0.12,0,0.1748,0.5526,moderate
Oyster Bay,40.6718,-73.4481,985.5189,0.1854,56.9883,79.1633,52.859,54.6171,2.5295,SE,0,51.1074,64.4821,1,2.619,10.6046,237.709,0.171,0.1905,0.7998,Clay,0.7332,4.8605,0.7842,0.1916,0,0.2279,0.6028,moderate
Long Beach,41.0279,-73.4365,1138.1547,0.18,94.2097,48.5966,0.3356,11.0187,17.8567,S,0,96.6475,104.0457,0,87.0263,5.2617,275.1742,0.3235,0.1914,0.4907,Silty,0.3193,0.5035,0.5075,0.6004,0,0.5049,0.1968,moderate
Glen Cove,41.0565,-72.1016,1261.4156,0.1557,74.9202,75.7926,6.336,41.7928,5.302,SW,0,80.8296,87.7792,0,68.3543,3.8067,95.4167,11.8456,0.0798,0.7091,Peaty,0.5,0.4059,0.3684,0.3393,0,0.3259,0.1881,low
Freeport,40.9368,-72.8877,86.3615,0.0543,64.7397,80.529,1.1242,9.3839,6.6702,NW,0,67.1442,77.1933,0,21.1214,1.9603,7.5402,0.7497,0.0638,0.4911,Clay-Loam,0.4938,0.5519,0.7449,0.4475,0,0.2864,0.3079,low
Port Jefferson,41.0626,-73.284,672.2552,0.1083,48.4666,100.0,1.8172,14.3612,17.1558,SE,0,47.4539,60.1414,0,48.1748,2.0248,29.5818,3.8009,0.1092,0.7614,Chalky,0.5061,0.2979,0.5566,0.3593,0,0.2452,0.2422,low
Patchogue,40.8963,-72.6122,1415.9301,0.3463,80.9715,81.9115,15.4471,16.1561,16.0281,W,0,78.33,83.9495,1,49.8606,5.5355,348.4296,2.6475,0.247,0.768,Silty,0.3584,1.4549,0.7083,0.5561,0,0.4129,0.3654,moderate
Bay Shore,40.9136,-72.191,932.9458,0.1669,45.2116,76.2088,2.9346,8.3417,9.7729,W,0,50.3921,61.1601,0,17.2171,25.6975,106.3601,2.1335,0.1804,0.6406,Sandy-Loam,0.5105,0.9909,0.7716,0.317,0,0.2426,0.3246,low
Lindenhurst,40.8565,-73.1331,137.1857,0.0379,61.3722,78.705,1.0145,2.2516,19.3435,SW,0,54.2574,61.3722,0,41.9211,5.4212,276.9203,11.5046,0.0264,0.5073,Clay-Loam,0.374,0.8895,0.5785,0.4074,0,0.3236,0.1979,low
West Islip,40.6153,-72.4411,3657.7204,0.5733,96.9348,81.1599,3.5153,13.0034,4.2045,S,0,92.0842,97.4488,0,51.0485,4.0798,224.8789,0.1103,0.6368,0.2226,Clay,0.3001,0.6735,0.5995,0.6108,0,0.3828,0.3078,moderate
